gpu_layers,threads,temperature,top_p,max_tokens,load_time,load_ram,load_vram,gen_time,tokens,speed,gen_ram,gen_vram,max_vram,error,response
0,6,0.7,0.8,50,1.9773051738739014,5593.16015625,0.0,0,0,0,5593.16015625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.7,0.8,100,1.9899284839630127,5593.00390625,0.0,0,0,0,5593.0078125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.7,0.9,50,1.9827067852020264,5593.109375,0.0,0,0,0,5593.109375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
0,6,0.7,0.9,100,2.00836181640625,5592.93359375,0.0,0,0,0,5592.93359375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.5,0.7,50,2.091825485229492,5592.953125,0.0,0,0,0,5592.953125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.5,0.7,100,1.991255283355713,5593.06640625,0.0,0,0,0,5593.06640625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.5,0.8,50,1.9828827381134033,5592.9453125,0.0,0,0,0,5592.9453125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.5,0.8,100,1.9956910610198975,5592.91015625,0.0,0,0,0,5592.91015625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.5,0.9,50,1.969700813293457,5594.16796875,0.0,0,0,0,5594.16796875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.5,0.9,100,1.9950475692749023,5593.12890625,0.0,0,0,0,5593.12890625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.6,0.7,50,1.9992730617523193,5594.28515625,0.0,0,0,0,5594.28515625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.6,0.7,100,2.22363543510437,5593.04296875,0.0,0,0,0,5593.04296875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.6,0.8,50,2.0714330673217773,5593.4453125,0.0,0,0,0,5593.4453125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.6,0.8,100,1.9856789112091064,5594.20703125,0.0,0,0,0,5594.20703125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.6,0.9,50,2.1002423763275146,5593.36328125,0.0,0,0,0,5593.36328125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.6,0.9,100,2.095242977142334,5592.94921875,0.0,0,0,0,5592.94921875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.7,0.7,50,2.0955910682678223,5593.40625,0.0,0,0,0,5593.40625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.7,0.7,100,1.9766581058502197,5593.10546875,0.0,0,0,0,5593.10546875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.7,0.8,50,2.1785879135131836,5594.22265625,0.0,0,0,0,5594.22265625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.7,0.8,100,2.1581356525421143,5594.2109375,0.0,0,0,0,5594.2109375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.7,0.9,50,2.1448745727539062,5594.06640625,0.0,0,0,0,5594.06640625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,2,0.7,0.9,100,2.2312774658203125,5594.2109375,0.0,0,0,0,5594.2109375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.5,0.7,50,2.1645121574401855,5594.1640625,0.0,0,0,0,5594.1640625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.5,0.7,100,2.1594061851501465,5594.66015625,0.0,0,0,0,5594.6640625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.5,0.8,50,2.1721839904785156,5594.515625,0.0,0,0,0,5594.5234375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.5,0.8,100,2.1468801498413086,5593.859375,0.0,0,0,0,5593.859375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.5,0.9,50,2.150259256362915,5594.13671875,0.0,0,0,0,5594.140625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.5,0.9,100,2.1873342990875244,5595.1015625,0.0,0,0,0,5595.10546875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.6,0.7,50,2.4003896713256836,5593.87109375,0.0,0,0,0,5593.87109375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.6,0.7,100,2.479166269302368,5594.01953125,0.0,0,0,0,5594.01953125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.6,0.8,50,2.291569709777832,5594.08984375,0.0,0,0,0,5594.08984375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.6,0.8,100,2.3570773601531982,5593.13671875,0.0,0,0,0,5593.1640625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.6,0.9,50,2.1901309490203857,5594.18359375,0.0,0,0,0,5594.18359375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.6,0.9,100,2.647453546524048,5593.64453125,0.0,0,0,0,5593.64453125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.7,0.7,50,2.3623762130737305,5594.171875,0.0,0,0,0,5594.171875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.7,0.7,100,2.2066810131073,5595.17578125,0.0,0,0,0,5595.17578125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.7,0.8,50,2.1831412315368652,5593.48046875,0.0,0,0,0,5593.48046875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.7,0.8,100,2.176643133163452,5593.86328125,0.0,0,0,0,5593.8828125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.7,0.9,50,2.1329269409179688,5593.83984375,0.0,0,0,0,5593.83984375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,4,0.7,0.9,100,2.1159088611602783,5593.99609375,0.0,0,0,0,5593.99609375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.5,0.7,50,2.0967628955841064,5594.87890625,0.0,0,0,0,5594.87890625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.5,0.7,100,2.310718536376953,5593.79296875,0.0,0,0,0,5593.796875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.5,0.8,50,2.242556095123291,5594.8984375,0.0,0,0,0,5594.92578125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.5,0.8,100,2.1690425872802734,5593.75,0.0,0,0,0,5593.77734375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.5,0.9,50,2.209887981414795,5593.80859375,0.0,0,0,0,5593.80859375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.5,0.9,100,2.075920820236206,5595.375,0.0,0,0,0,5595.375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.6,0.7,50,2.146336078643799,5593.296875,0.0,0,0,0,5593.3046875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.6,0.7,100,2.1166892051696777,5594.4609375,0.0,0,0,0,5594.46484375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.6,0.8,50,2.111727714538574,5595.49609375,0.0,0,0,0,5595.49609375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.6,0.8,100,2.080448627471924,5594.22265625,0.0,0,0,0,5594.24609375,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.6,0.9,50,2.1110291481018066,5593.45703125,0.0,0,0,0,5593.48046875,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.6,0.9,100,2.1236820220947266,5594.08984375,0.0,0,0,0,5594.11328125,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
5,6,0.7,0.7,50,2.105801820755005,5594.50390625,0.0,0,0,0,5594.50390625,0.0,4.76837158203125e-07,exception: access violation reading 0x0000000000000030,
