line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
15601,f91d69b50933c0012e79d6dcc0af863a,TASS,"Кобахидзе: масштабный блэкаут в Грузии, возможно, не был связан с саботажем",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15701,624b76e560026689b5e22a00280ade0b,TASS,В Краснодаре неизвестные избили подростка,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15702,fd430ec2218ef50ca784b04eb18f2911,TASS,Почти 175 тыс. жителей юга Японии получили указание об эвакуации из-за тайфуна,review,review,,yellow,False,unknown_topic
15703,20aba323a31691666b0442ff20c2738e,TASS,В Германии демонстранты потребовали отставки правительства Мерца,allow,allow,PERSONAL_DATA,green,True,title_lead_key_verb:правительств+потребовал
15801,f0e36c24e33511015c8c5fa5bf1479dd,TASS,Кобахидзе назвал русофобию в Грузии попыткой устроить провокацию в стране,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15802,4fca2367d9d8ff87e143c8bc5093aa85,TASS,В Житомире произошел взрыв,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15803,fdb684650ae76f93faf0b1431da50363,TASS,В Великом Новгороде девушка по указанию мошенников забрала у пенсионерки деньги,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15804,5df39cbb4d69bbf50364c1989db9570d,TASS,"Хоккеист Евгений Кузнецов подписал контракт с ""Сибирью""",hard_block,hard_block,,red,False,fio:Хоккеист Евгений Кузнецов
15805,23d2047ac76215c0f78e7b0540cb1413,TASS,В Сочи и Сириусе объявили угрозу атаки БПЛА,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15806,ca05a44c36c0a437f9c2a2bd60aa3a5b,TASS,Чемпионов Международной олимпиады по ИИ пригласили работать в Т-Банк,allow,hard_block,SPORT_BLOCKED,red,True,sport_blocked
15901,07d61fd7a2945a8922271acd3d6f9cd8,TASS,В пяти областях Украины объявили воздушную тревогу,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15902,c72f88e76953bf80cd10b51659d22c78,TASS,"Фестиваль самодельных летательных аппаратов ""Летфест"" пройдет 22 августа",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15903,2cacfded8ddcd765b11466a7f1dcea6e,TASS,По части набережных Москвы открывают движение после проведения триатлона,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15904,52b562d3da94f672368b31e47a4c156e,TASS,"Иран готов открыть Ормузский пролив, если США примут условия Тегерана",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15905,0361afef70db6ecfc84338dc64435381,TASS,В Екатеринбурге восстановили холодное водоснабжение,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15906,7d1d1bf92a8615a45f9348ee6d0eff5d,TASS,Пловец Муратов оценил на пятерку с минусом выступление на ЧЕ,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
15907,b6e47dd3ca005d1592f7beaa22421103,TASS,В Москве перед началом учебного года проверят безопасность маршрутов вблизи 917 школ,allow,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16101,8b6c8962d145c7a50157e8d62ffd61c3,TASS,В Воронежской области отменили опасность атаки БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16102,714c00724af48579a3c3537d32556465,TASS,В Рязанской области отменили беспилотную опасность,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16115,23d2047ac76215c0f78e7b0540cb1413,TASS,В Сочи и Сириусе объявляли угрозу атаки БПЛА,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16201,e8870642fa10042abcc9ed229c9845aa,TASS,Bloomberg: Турция начала ограничивать судоходство в Черном море,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16202,d8689fe5796b247d2652c97aeeea2e7d,TASS,Гала-матч на Кубке Овечкина завершился вничью,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
16203,aba7a28cb551a37165382abfd0f3e9ab,TASS,"Театр Пушкина готовит спектакль ""Гордость и предубеждение""",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16204,18960a753514740a75244c605640cfb9,TASS,МАГАТЭ сообщило о третьем за неделю отключении ЗАЭС от внешнего питания,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16205,14ee0480ee479f27ab079993ee103b37,TASS,В Болгарии в небе взорвался неопознанный беспилотник,allow,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16206,b24f1edd63fcb58964ef9bfaad96f531,TASS,Пловец Муратов отметил теплое отношение иностранцев к россиянам на ЧЕ,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16207,4a61c941e4bde34a86898596937b5147,TASS,В Петербурге завели дело о хулиганстве после нападения на медиков скорой,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16214,52b562d3da94f672368b31e47a4c156e,TASS,"Иран готов открыть Ормузский пролив, если США примут условия республики",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16301,9007361dec72d6a161edcc77e53af08b,TASS,Украинские ТЦК массово лишают мужчин прав на законную отсрочку,allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16302,963cc8dc450b872a46bf1e86d78b99b5,TASS,Умер отец Лионеля Месси,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
16401,8818a6060ec851216f6c5a341c637fe0,TASS,В Тамбовской области отменили опасность атаки БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
16402,2e879cc37fe8608f8077c5558234f4d2,TASS,В Ивановской области отменили беспилотную опасность,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
